x-min,y-mni,z-mni,x-tal,y-tal,z-tal,dist1,BA1,AnatA1,AnatB1,dist2,BA2,AnatA2,AnatB2,dist3,BA3,AnatA3,AnatB3
4,52,-20,4,50,-19,1,Brodmann area 11,Orbital Gyrus,Frontal Lobe,11,Brodmann area 10,Medial Frontal Gyrus,Frontal Lobe,16,Brodmann area 32,Anterior Cingulate,Limbic Lobe
18,52,-20,18,50,-19,2,Brodmann area 11,Superior Frontal Gyrus,Frontal Lobe,13,Brodmann area 10,Superior Frontal Gyrus,Frontal Lobe,16,Brodmann area 32,Anterior Cingulate,Limbic Lobe
-10,59,-20,-10,56,-20,4,Brodmann area 11,Orbital Gyrus,Frontal Lobe,12,Brodmann area 10,Superior Frontal Gyrus,Frontal Lobe,19,Brodmann area 32,Anterior Cingulate,Limbic Lobe
-3,59,-20,-3,56,-20,2,Brodmann area 11,Superior Frontal Gyrus,Frontal Lobe,12,Brodmann area 10,Medial Frontal Gyrus,Frontal Lobe,20,Brodmann area 32,Anterior Cingulate,Limbic Lobe
4,59,-20,4,56,-20,1,Brodmann area 11,Superior Frontal Gyrus,Frontal Lobe,12,Brodmann area 10,Medial Frontal Gyrus,Frontal Lobe,20,Brodmann area 32,Anterior Cingulate,Limbic Lobe
11,59,-20,11,56,-20,4,Brodmann area 11,Superior Frontal Gyrus,Frontal Lobe,12,Brodmann area 10,Superior Frontal Gyrus,Frontal Lobe,18,Brodmann area 32,Anterior Cingulate,Limbic Lobe
18,59,-20,18,56,-20,3,Brodmann area 11,Superior Frontal Gyrus,Frontal Lobe,13,Brodmann area 10,Superior Frontal Gyrus,Frontal Lobe,19,Brodmann area 32,Anterior Cingulate,Limbic Lobe
-17,-102,-13,-17,-99,-6,2,Brodmann area 17,Lingual Gyrus,Occipital Lobe,4,Brodmann area 18,Lingual Gyrus,Occipital Lobe,18,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
-10,-102,-13,-10,-99,-6,2,Brodmann area 18,Lingual Gyrus,Occipital Lobe,5,Brodmann area 17,Lingual Gyrus,Occipital Lobe,21,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
-17,-95,-13,-17,-93,-6,2,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe,6,Brodmann area 18,Lingual Gyrus,Occipital Lobe,13,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
-10,-95,-13,-10,-93,-6,3,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe,6,Brodmann area 18,Lingual Gyrus,Occipital Lobe,17,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
-3,-95,-13,-3,-93,-6,2,Brodmann area 18,Lingual Gyrus,Occipital Lobe,4,Brodmann area 17,Lingual Gyrus,Occipital Lobe,23,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
32,-95,-13,32,-93,-6,2,Brodmann area 18,Inferior Occipital Gyrus,Occipital Lobe,6,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe,13,Brodmann area 19,Middle Occipital Gyrus,*
-38,-88,-13,-38,-86,-7,3,Brodmann area 18,Inferior Occipital Gyrus,Occipital Lobe,8,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,14,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe
-17,-88,-13,-17,-86,-7,5,Brodmann area 18,Fusiform Gyrus,Occipital Lobe,6,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe,8,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
-10,-88,-13,-10,-86,-7,5,Brodmann area 18,Lingual Gyrus,Occipital Lobe,5,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe,14,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
-3,-88,-13,-3,-86,-7,2,Brodmann area 18,Lingual Gyrus,Occipital Lobe,5,Brodmann area 17,Lingual Gyrus,Occipital Lobe,20,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
4,-88,-13,4,-86,-7,2,Brodmann area 18,Lingual Gyrus,Occipital Lobe,5,Brodmann area 17,Lingual Gyrus,Occipital Lobe,19,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
11,-88,-13,11,-86,-7,5,Brodmann area 18,Lingual Gyrus,Occipital Lobe,5,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe,13,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
18,-88,-13,18,-86,-7,5,Brodmann area 18,Fusiform Gyrus,Occipital Lobe,6,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe,8,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
25,-88,-13,25,-86,-7,2,Brodmann area 18,Inferior Occipital Gyrus,Occipital Lobe,6,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,9,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe
32,-88,-13,32,-86,-7,2,Brodmann area 18,Inferior Occipital Gyrus,Occipital Lobe,7,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,10,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe
39,-88,-13,39,-86,-7,3,Brodmann area 18,Inferior Occipital Gyrus,Occipital Lobe,8,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,15,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe
-45,-81,-13,-45,-79,-7,1,Brodmann area 18,Inferior Occipital Gyrus,Occipital Lobe,4,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,14,Brodmann area 37,Inferior Temporal Gyrus,*
-38,-81,-13,-38,-79,-7,3,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe,3,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,16,Brodmann area 37,Inferior Temporal Gyrus,*
-31,-81,-13,-31,-79,-7,2,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe,5,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,17,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe
-24,-81,-13,-24,-79,-7,3,Brodmann area 18,Lingual Gyrus,Occipital Lobe,6,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,14,Brodmann area 17,Lingual Gyrus,*
-17,-81,-13,-17,-79,-7,2,Brodmann area 18,Lingual Gyrus,Occipital Lobe,6,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,12,Brodmann area 17,Lingual Gyrus,*
-10,-81,-13,-10,-79,-7,2,Brodmann area 18,Lingual Gyrus,Occipital Lobe,12,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,12,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe
-3,-81,-13,-3,-79,-7,4,Brodmann area 18,Lingual Gyrus,Occipital Lobe,11,Brodmann area 17,Lingual Gyrus,Occipital Lobe,17,Brodmann area 30,Cuneus,Occipital Lobe
4,-81,-13,4,-79,-7,3,Brodmann area 18,Lingual Gyrus,Occipital Lobe,11,Brodmann area 17,Lingual Gyrus,Occipital Lobe,17,Brodmann area 30,Cuneus,Occipital Lobe
11,-81,-13,11,-79,-7,2,Brodmann area 18,Lingual Gyrus,Occipital Lobe,11,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,12,Brodmann area 17,Inferior Occipital Gyrus,Occipital Lobe
18,-81,-13,18,-79,-7,3,Brodmann area 18,Lingual Gyrus,Occipital Lobe,6,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,12,Brodmann area 17,Lingual Gyrus,*
39,-81,-13,39,-79,-7,3,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,4,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe,16,Brodmann area 37,Inferior Temporal Gyrus,*
46,-81,-13,46,-79,-7,2,Brodmann area 18,Inferior Occipital Gyrus,Occipital Lobe,4,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,14,Brodmann area 37,Inferior Temporal Gyrus,*
-45,-74,-13,-45,-72,-7,4,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,5,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe,9,Brodmann area 37,Inferior Temporal Gyrus,*
-38,-74,-13,-38,-72,-7,5,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,6,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe,12,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
32,-74,-13,32,-72,-7,3,Brodmann area 18,Lingual Gyrus,Occipital Lobe,5,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,15,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
39,-74,-13,39,-72,-7,4,Brodmann area 19,Inferior Occipital Gyrus,Occipital Lobe,6,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe,12,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
46,-74,-13,46,-72,-7,4,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe,5,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe,9,Brodmann area 37,Inferior Temporal Gyrus,*
-52,-67,-13,-51,-65,-8,3,Brodmann area 37,Middle Occipital Gyrus,Occipital Lobe,3,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe,10,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-45,-67,-13,-45,-65,-8,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,11,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe
-38,-67,-13,-38,-65,-8,5,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,6,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,9,Brodmann area 18,Lingual Gyrus,Occipital Lobe
39,-67,-13,39,-65,-8,5,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,6,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,10,Brodmann area 18,Lingual Gyrus,Occipital Lobe
46,-67,-13,46,-65,-8,5,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,11,Brodmann area 18,Middle Occipital Gyrus,Occipital Lobe
53,-67,-13,52,-65,-8,3,Brodmann area 37,Middle Occipital Gyrus,Occipital Lobe,3,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe,10,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-59,-60,-13,-58,-59,-8,3,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe
-52,-60,-13,-51,-59,-8,2,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-45,-60,-13,-45,-59,-8,6,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,7,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe,9,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-38,-60,-13,-38,-59,-8,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,9,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,14,Brodmann area 18,Lingual Gyrus,Occipital Lobe
-31,-60,-13,-31,-59,-8,8,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,8,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,11,Brodmann area 18,Lingual Gyrus,Occipital Lobe
39,-60,-13,39,-59,-8,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,8,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,14,Brodmann area 18,Lingual Gyrus,Occipital Lobe
46,-60,-13,46,-59,-8,6,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,7,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe,9,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
53,-60,-13,52,-59,-8,2,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
60,-60,-13,59,-59,-8,4,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,7,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe
-59,-53,-13,-58,-52,-8,1,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-52,-53,-13,-51,-52,-8,4,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe
-45,-53,-13,-45,-52,-8,5,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,8,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,9,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe
-38,-53,-13,-38,-52,-8,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,14,Brodmann area 19,Fusiform Gyrus,Occipital Lobe,15,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
46,-53,-13,46,-52,-8,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,8,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe
53,-53,-13,52,-52,-8,3,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 19,Middle Occipital Gyrus,Occipital Lobe
60,-53,-13,59,-52,-8,0,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-66,-46,-13,-65,-45,-9,4,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-59,-46,-13,-58,-45,-9,2,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe,3,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-52,-46,-13,-51,-45,-9,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,5,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
-45,-46,-13,-45,-45,-9,2,Brodmann area 37,Sub-Gyral,Temporal Lobe,9,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 36,Fusiform Gyrus,Temporal Lobe
-31,-46,-13,-31,-45,-9,1,Brodmann area 37,Fusiform Gyrus,Occipital Lobe,6,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,9,Brodmann area 20,Fusiform Gyrus,Temporal Lobe
-24,-46,-13,-24,-45,-9,2,Brodmann area 37,Parahippocampal Gyrus,Limbic Lobe,4,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,8,Brodmann area 19,Fusiform Gyrus,Occipital Lobe
46,-46,-13,46,-45,-9,2,Brodmann area 37,Sub-Gyral,Temporal Lobe,8,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 36,Fusiform Gyrus,Temporal Lobe
53,-46,-13,52,-45,-9,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,4,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
60,-46,-13,59,-45,-9,2,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe,4,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe
67,-46,-13,66,-45,-9,4,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-66,-39,-13,-65,-38,-9,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe
-59,-39,-13,-58,-38,-9,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,5,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe
-31,-39,-13,-31,-38,-9,2,Brodmann area 37,Parahippocampal Gyrus,Limbic Lobe,3,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,6,Hippocampus,Sub-Gyral,Limbic Lobe
-24,-39,-13,-24,-38,-9,3,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,6,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe
-17,-39,-13,-17,-38,-9,3,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 30,Parahippocampal Gyrus,Limbic Lobe
25,-39,-13,25,-38,-9,3,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,4,Brodmann area 37,Fusiform Gyrus,Temporal Lobe,7,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe
32,-39,-13,32,-38,-9,2,Brodmann area 37,Parahippocampal Gyrus,Limbic Lobe,4,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,7,Hippocampus,Sub-Gyral,Limbic Lobe
60,-39,-13,59,-38,-9,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe
67,-39,-13,66,-38,-9,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 20,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 37,Middle Temporal Gyrus,Temporal Lobe
-66,-32,-13,-65,-32,-9,1,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,13,Brodmann area 22,Superior Temporal Gyrus,*
-59,-32,-13,-58,-32,-9,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 37,Inferior Temporal Gyrus,Temporal Lobe
-31,-32,-13,-31,-32,-9,4,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,4,Hippocampus,Sub-Gyral,Temporal Lobe,5,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
-24,-32,-13,-24,-32,-9,3,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 27,Parahippocampal Gyrus,Limbic Lobe
-17,-32,-13,-17,-32,-9,1,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 30,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe
18,-32,-13,18,-32,-9,2,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 30,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe
32,-32,-13,32,-32,-9,4,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,5,Hippocampus,Sub-Gyral,Temporal Lobe,5,Brodmann area 37,Fusiform Gyrus,Temporal Lobe
60,-32,-13,59,-32,-9,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 22,Superior Temporal Gyrus,*
67,-32,-13,66,-32,-9,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,13,Brodmann area 22,Superior Temporal Gyrus,*
-66,-25,-13,-65,-25,-10,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 22,Superior Temporal Gyrus,*
-59,-25,-13,-58,-25,-10,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 22,Superior Temporal Gyrus,*
-38,-25,-13,-38,-25,-10,5,Hippocampus,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,7,Brodmann area 20,Fusiform Gyrus,Temporal Lobe
-31,-25,-13,-31,-25,-10,2,Hippocampus,Sub-Gyral,Temporal Lobe,7,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,9,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe
-24,-25,-13,-24,-25,-10,4,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,4,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe,5,Hippocampus,Sub-Gyral,Temporal Lobe
25,-25,-13,25,-25,-10,4,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,4,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe,4,Hippocampus,Sub-Gyral,Temporal Lobe
32,-25,-13,32,-25,-10,2,Hippocampus,Sub-Gyral,Temporal Lobe,7,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,10,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe
39,-25,-13,39,-25,-10,5,Hippocampus,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 36,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 20,Fusiform Gyrus,Temporal Lobe
60,-25,-13,59,-25,-10,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 22,Superior Temporal Gyrus,*
67,-25,-13,66,-25,-10,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 22,Superior Temporal Gyrus,*
-66,-18,-13,-65,-18,-10,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 22,Superior Temporal Gyrus,*
-59,-18,-13,-58,-18,-10,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 22,Superior Temporal Gyrus,*
-52,-18,-13,-51,-18,-10,7,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,12,Brodmann area 13,Insula,Sub-lobar
-31,-18,-13,-31,-18,-10,3,Hippocampus,Parahippocampal Gyrus,Limbic Lobe,9,Amygdala,Parahippocampal Gyrus,Limbic Lobe,9,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe
-24,-18,-13,-24,-18,-10,5,Brodmann area 35,Parahippocampal Gyrus,Limbic Lobe,5,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe,5,Hippocampus,Parahippocampal Gyrus,Limbic Lobe
32,-18,-13,32,-18,-10,2,Hippocampus,Parahippocampal Gyrus,Limbic Lobe,10,Amygdala,Parahippocampal Gyrus,Limbic Lobe,10,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe
53,-18,-13,52,-18,-10,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,12,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
67,-18,-13,66,-18,-10,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,7,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,11,Brodmann area 22,Superior Temporal Gyrus,*
-66,-11,-13,-65,-11,-10,2,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 22,Superior Temporal Gyrus,*
-59,-11,-13,-58,-11,-10,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,10,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
-52,-11,-13,-51,-11,-10,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,10,Brodmann area 13,Insula,Sub-lobar
-24,-11,-13,-24,-11,-10,4,Amygdala,Parahippocampal Gyrus,Limbic Lobe,7,Hippocampus,Parahippocampal Gyrus,Limbic Lobe,8,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe
-17,-11,-13,-17,-11,-10,2,Brodmann area 37,Parahippocampal Gyrus,Limbic Lobe,5,Amygdala,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 34,Parahippocampal Gyrus,Limbic Lobe
18,-11,-13,18,-11,-10,3,Brodmann area 37,Parahippocampal Gyrus,Limbic Lobe,4,Amygdala,Parahippocampal Gyrus,Limbic Lobe,6,Brodmann area 34,Parahippocampal Gyrus,Limbic Lobe
25,-11,-13,25,-11,-10,3,Amygdala,Parahippocampal Gyrus,Limbic Lobe,7,Hippocampus,Parahippocampal Gyrus,Limbic Lobe,8,Brodmann area 28,Parahippocampal Gyrus,Limbic Lobe
53,-11,-13,52,-11,-10,6,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,9,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,10,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe
60,-11,-13,59,-11,-10,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,10,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe
67,-11,-13,66,-11,-10,3,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,10,Brodmann area 20,Inferior Temporal Gyrus,Temporal Lobe,12,Brodmann area 22,Superior Temporal Gyrus,*
-59,-4,-13,-58,-4,-11,5,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,8,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,9,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe
-52,-4,-13,-51,-4,-11,4,Brodmann area 21,Middle Temporal Gyrus,Temporal Lobe,6,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe
-45,-4,-13,-45,-4,-11,4,Brodmann area 21,Sub-Gyral,Temporal Lobe,7,Brodmann area 22,Superior Temporal Gyrus,Temporal Lobe,8,Brodmann area 13,Insula,Sub-lobar
-38,-4,-13,-38,-4,-11,5,Brodmann area 21,Sub-Gyral,Temporal Lobe,7,Brodmann area 13,Sub-Gyral,Temporal Lobe,8,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe
-31,-4,-13,-31,-4,-11,5,Amygdala,Parahippocampal Gyrus,Limbic Lobe,7,Hippocampus,Parahippocampal Gyrus,Limbic Lobe,9,Brodmann area 38,Superior Temporal Gyrus,Temporal Lobe
